StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
06/01/2019 21.00	37.82	03.41	00.07	67.02.00	29.02.00	00.09
06/01/2019 20.00	37.91	06.03	00.07	67.77	29.86	00.12
06/01/2019 19.00	40.36.00	04.41	00.08	69.45.00	29.09.00	00.11
06/01/2019 18.00	41.03.00	04.35	00.09	69.03.00	28	00.08
06/01/2019 17.00	39.07.00	03.05	00.07	68.83	29.14.00	00.09
06/01/2019 16.00	39.53.00	0,18125	00.07	69.17.00	29.64	00.08
06/01/2019 15.00	40.17.00	4	00.07	69.22.00	29.05.00	00.09
06/01/2019 14.00	41.47.00	0,185416667	00.08	70.06.00	28.58.00	00.09
06/01/2019 13.00	41.07.00	05.06	00.08	69.95	28.26.00	00.11
06/01/2019 12.00	40.53.00	04.17	00.08	69.42.00	28.89	00.08
06/01/2019 11.00	40.21.00	0,231944444	00.08	68.85	28.64	00.11
06/01/2019 10.00	40.79	03.33	00.08	69.39.00	28.06.00	00.09
06/01/2019 09.00	40.95	04.35	00.08	69.35.00	28.41.00	00.09
06/01/2019 08.00	40.81	0,191666667	00.08	69.46.00	28.66	00.09
06/01/2019 07.00	40.44.00	03.26	00.08	69.22.00	28.78	00.09
06/01/2019 06.00	40.01.00	0	00.08	68.92	28.09.00	0
06/01/2019 05.00	39.13.00	0,382638889	00.08	67.97	28.84	00.18
06/01/2019 04.00	39.01.00	04.29	00.08	67.94	28.84	00.01
06/01/2019 03.00	42.97	0	00.01	69.37.00	26.41.00	0
06/01/2019 02.00	37.53.00	06.19	00.06	67.34.00	29.81	00.14
06/01/2019 01.00	37.53.00	06.05	00.06	67.34.00	29.81	00.14
06/01/2019 00.00	37.53.00	03.51	00.06	67.34.00	29.81	00.09
05/01/2019 23.00	37.23.00	3	00.08	66.34.00	29.11.00	00.08
05/01/2019 22.00	38.27.00	03.09	00.09	66.35.00	28.08.00	00.08
05/01/2019 21.00	39.02.00	0,15	00.01	66.83	27.82	00.08
05/01/2019 20.00	33.38.00	03.31	00.49	66.37.00	32.99	00.01
05/01/2019 19.00	35.67	0,172916667	00.06	65.53.00	29.86	00.08
05/01/2019 18.00	36.07.00	03.31	00.06	66.73	30.66	00.08
05/01/2019 17.00	39.82	0,169444444	00.07	70.35.00	30.53.00	00.08
05/01/2019 16.00	41.23.00	0,189583333	00.08	70.95	29.72	00.08
05/01/2019 15.00	42.27.00	0,144444444	00.04	72.43.00	30.15.00	00.08
05/01/2019 14.00	40.92	04.05	00.08	71.57.00	30.65	00.08
05/01/2019 13.00	41.35.00	03.26	00.06	71.04.00	29.69	00.07
05/01/2019 12.00	43.13.00	0,177083333	00.07	72.16.00	29.03.00	00.07
05/01/2019 11.00	42.51.00	03.19	00.06	72.27.00	29.76	00.08
05/01/2019 10.00	39.67	04.11	00.06	70.29.00	30.62	00.08
05/01/2019 09.00	40.06.00	0,169444444	00.07	71.13.00	30.53.00	00.07
05/01/2019 08.00	40.79	0,188888889	00.08	70.64	29.85	00.08
05/01/2019 07.00	42.02.00	03.21	00.08	71.04.00	29.02.00	00.07
05/01/2019 06.00	40.63	00.04	00.07	70.67	30.04.00	00.01
05/01/2019 05.00	40.65	0,309027778	00.08	70.03.00	29.65	00.16
05/01/2019 04.00	40.71	03.09	00.08	70.03.00	29.59.00	00.08
05/01/2019 03.00	41.92	0,136805556	00.08	70.34.00	28.42.00	00.07
05/01/2019 02.00	41.61	04.38	00.07	70.34.00	28.73	00.08
05/01/2019 01.00	40.11.00	0,172916667	00.06	70.57.00	30.46.00	00.08
05/01/2019 00.00	39.41.00	03.02	00.07	69.67	30.26.00	00.08
04/01/2019 23.00	40.35.00	0,143055556	00.08	69.17.00	28.83	00.08
